TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,SEASON
1610612765,Detroit Pistons,3,0,3,0.0,48.0,14.0,9.0,11.7,29.3,16.7,9.3,12.3,32.7,15,15,1,15,15,9,16,5,14,14,2,15,6,1999-00
1610612754,Indiana Pacers,23,13,10,0.565,48.2,12.4,13.7,8.4,32.6,13.8,14.0,13.1,43.4,1,2,16,4,1,16,8,15,10,6,9,16,15,1999-00
1610612747,Los Angeles Lakers,23,15,8,0.652,48.2,14.6,16.3,10.1,44.3,12.9,14.0,11.2,36.6,1,1,15,1,2,7,2,12,1,3,10,12,12,1999-00
1610612748,Miami Heat,10,6,4,0.6,48.5,12.6,9.9,11.2,31.0,13.7,9.6,10.7,30.4,5,5,9,3,5,14,14,9,13,5,3,11,4,1999-00
1610612749,Milwaukee Bucks,5,2,3,0.4,48.0,14.2,10.6,14.2,37.2,13.0,16.2,7.6,30.4,9,9,1,8,9,8,13,3,5,4,15,2,4,1999-00
1610612750,Minnesota Timberwolves,4,1,3,0.25,48.0,12.8,12.0,11.5,22.5,14.8,11.5,7.5,30.0,12,12,1,12,13,13,11,7,16,8,4,1,3,1999-00
1610612752,New York Knicks,16,9,7,0.563,48.3,12.9,9.7,10.9,32.5,11.8,11.6,8.0,29.3,3,4,14,5,3,12,15,11,11,1,5,3,1,1999-00
1610612755,Philadelphia 76ers,10,5,5,0.5,48.5,16.6,15.3,13.4,42.0,13.9,13.6,10.5,34.6,5,6,10,6,5,3,4,4,2,7,8,8,8,1999-00
1610612756,Phoenix Suns,9,4,5,0.444,48.0,13.1,15.3,11.0,38.4,14.9,15.0,10.6,36.9,8,7,10,7,8,11,3,10,3,9,12,10,13,1999-00
1610612757,Portland Trail Blazers,16,10,6,0.625,48.0,15.3,13.3,9.1,36.3,12.8,12.2,10.3,29.6,3,3,12,2,4,5,9,14,6,2,6,6,2,1999-00
1610612758,Sacramento Kings,5,2,3,0.4,48.0,12.6,13.8,14.8,34.4,15.2,19.4,12.2,51.6,9,9,1,8,9,14,7,1,8,10,16,14,16,1999-00
1610612759,San Antonio Spurs,4,1,3,0.25,48.0,15.0,15.3,14.8,37.5,16.3,15.0,9.0,39.5,12,12,1,12,13,6,5,2,4,13,12,4,14,1999-00
1610612760,Seattle SuperSonics,5,2,3,0.4,48.0,19.4,14.0,11.6,33.6,15.8,14.2,10.0,34.0,9,9,1,8,9,1,6,6,9,12,11,5,7,1999-00
1610612761,Toronto Raptors,3,0,3,0.0,48.0,17.0,12.0,6.7,23.3,15.3,8.7,10.3,34.7,15,15,1,15,15,2,11,16,15,11,1,7,9,1999-00
1610612762,Utah Jazz,10,4,6,0.4,48.0,13.9,12.3,9.9,31.2,18.5,15.3,11.7,35.4,5,7,12,8,7,10,10,13,12,15,14,13,10,1999-00
