TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,SEASON
1610612758,Sacramento Kings,5,2,3,0.4,50.0,0.721,0.279,0.578,0.119,0.205,0.143,0.216,0.19,0.459,0.519,0.481,0.742,0.258,0.562,0.438,9,9,2,6,1,15,2,12,16,6,4,10,5,1,12,5,12,5,11,6,1998-99
1610612759,San Antonio Spurs,17,15,2,0.882,48.0,0.832,0.168,0.621,0.216,0.14,0.106,0.239,0.164,0.406,0.634,0.366,0.943,0.057,0.674,0.326,2,1,1,1,5,7,10,7,11,10,10,5,12,5,3,14,1,16,3,14,1998-99
1610612762,Utah Jazz,11,5,6,0.455,48.9,0.872,0.128,0.661,0.249,0.098,0.127,0.242,0.197,0.412,0.667,0.333,0.813,0.188,0.68,0.32,5,5,13,5,3,4,13,5,7,14,8,3,4,4,1,16,11,6,2,15,1998-99
1610612766,Charlotte Hornets,4,1,3,0.25,49.3,0.8,0.2,0.608,0.219,0.148,0.126,0.244,0.17,0.389,0.676,0.324,0.889,0.111,0.705,0.295,12,12,1,12,1,9,7,10,10,12,9,3,6,6,3,14,9,8,2,15,1999-00
1610612765,Detroit Pistons,3,0,3,0.0,48.0,0.832,0.168,0.594,0.226,0.163,0.146,0.243,0.176,0.368,0.451,0.549,0.923,0.077,0.524,0.476,15,15,1,15,7,7,10,12,9,6,4,4,5,10,15,2,3,13,14,3,1999-00
1610612754,Indiana Pacers,23,13,10,0.565,48.2,0.761,0.239,0.567,0.235,0.218,0.086,0.215,0.127,0.332,0.513,0.488,0.854,0.146,0.582,0.418,1,2,16,4,5,16,1,14,8,2,15,8,16,14,10,7,11,6,9,8,1999-00
1610612747,Los Angeles Lakers,23,15,8,0.652,48.2,0.808,0.192,0.641,0.197,0.162,0.102,0.197,0.146,0.444,0.54,0.46,0.847,0.153,0.584,0.416,1,1,15,1,6,8,9,6,14,7,13,12,14,3,7,10,13,4,8,9,1999-00
1610612748,Miami Heat,10,6,4,0.6,48.5,0.798,0.202,0.63,0.257,0.169,0.135,0.201,0.151,0.373,0.576,0.424,0.851,0.149,0.618,0.382,5,5,9,3,2,11,6,8,5,5,7,10,10,9,6,11,12,5,6,11,1999-00
1610612749,Milwaukee Bucks,5,2,3,0.4,48.0,0.86,0.14,0.713,0.325,0.113,0.148,0.175,0.148,0.388,0.538,0.462,0.611,0.389,0.545,0.455,9,9,1,8,7,2,15,2,2,14,3,15,13,7,8,9,15,2,12,5,1999-00
1610612750,Minnesota Timberwolves,4,1,3,0.25,48.0,0.873,0.127,0.733,0.469,0.106,0.135,0.161,0.15,0.264,0.68,0.32,0.75,0.25,0.686,0.314,12,12,1,12,7,1,16,1,1,16,6,16,12,16,2,15,14,3,4,13,1999-00
1610612752,New York Knicks,16,9,7,0.563,48.3,0.842,0.158,0.632,0.247,0.16,0.13,0.208,0.153,0.385,0.403,0.597,0.861,0.139,0.469,0.531,3,4,14,5,4,5,12,7,6,9,8,9,9,8,16,1,10,7,16,1,1999-00
1610612755,Philadelphia 76ers,10,5,5,0.5,48.5,0.846,0.154,0.643,0.197,0.124,0.142,0.232,0.176,0.446,0.512,0.488,0.923,0.077,0.558,0.442,5,6,10,6,2,4,13,5,13,13,5,7,4,2,11,6,3,13,11,6,1999-00
1610612756,Phoenix Suns,9,4,5,0.444,48.0,0.796,0.204,0.659,0.219,0.16,0.126,0.181,0.15,0.44,0.579,0.421,0.929,0.071,0.628,0.372,8,7,10,7,16,12,5,3,11,8,10,13,11,4,5,12,2,15,5,12,1999-00
1610612757,Portland Trail Blazers,16,10,6,0.625,48.0,0.8,0.2,0.584,0.192,0.176,0.098,0.24,0.166,0.392,0.532,0.468,0.897,0.103,0.593,0.407,3,3,12,2,15,9,7,13,15,4,14,5,7,5,9,8,7,10,7,10,1999-00
1610612758,Sacramento Kings,5,2,3,0.4,48.0,0.785,0.215,0.56,0.203,0.205,0.154,0.234,0.131,0.357,0.474,0.526,0.576,0.424,0.494,0.506,9,9,1,8,7,15,2,15,12,3,2,6,15,12,14,3,16,1,15,2,1999-00
1610612759,San Antonio Spurs,4,1,3,0.25,48.0,0.855,0.145,0.618,0.159,0.11,0.18,0.272,0.183,0.459,0.485,0.515,0.917,0.083,0.531,0.469,12,12,1,12,7,3,14,9,16,15,1,2,3,1,12,5,5,12,13,4,1999-00
1610612760,Seattle SuperSonics,5,2,3,0.4,48.0,0.794,0.206,0.597,0.236,0.225,0.124,0.178,0.208,0.361,0.482,0.518,0.914,0.086,0.569,0.431,9,9,1,8,7,13,4,11,7,1,11,14,1,11,13,4,6,11,10,7,1999-00
1610612761,Toronto Raptors,3,0,3,0.0,48.0,0.788,0.212,0.558,0.279,0.155,0.08,0.287,0.203,0.279,0.629,0.371,1.0,0.0,0.687,0.313,15,15,1,15,7,14,3,16,4,11,16,1,2,15,4,13,1,16,3,14,1999-00
