TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,SEASON
1610612753,Orlando Magic,4,1,3,0.25,192.0,0.422,0.437,0.208,0.363,0.452,0.335,0.179,0.41,12,12,2,12,12,14,2,16,2,5,6,5,16,1998-99
1610612755,Philadelphia 76ers,8,3,5,0.375,384.0,0.437,0.298,0.149,0.382,0.451,0.401,0.19,0.358,7,6,11,9,7,13,13,3,1,4,13,2,14,1998-99
1610612756,Phoenix Suns,3,0,3,0.0,144.0,0.473,0.269,0.151,0.264,0.558,0.573,0.197,0.299,15,15,2,15,16,4,14,4,16,16,16,1,8,1998-99
1610612757,Portland Trail Blazers,13,7,6,0.538,624.0,0.451,0.452,0.163,0.288,0.463,0.367,0.162,0.293,3,4,13,4,4,9,1,8,13,10,9,9,6,1998-99
1610612758,Sacramento Kings,5,2,3,0.4,250.0,0.446,0.332,0.189,0.324,0.46,0.306,0.176,0.35,9,9,2,6,9,11,10,15,8,8,5,6,13,1998-99
1610612759,San Antonio Spurs,17,15,2,0.882,816.0,0.48,0.406,0.171,0.274,0.417,0.293,0.162,0.32,2,1,1,1,2,3,3,11,15,1,3,10,10,1998-99
1610612762,Utah Jazz,11,5,6,0.455,538.0,0.451,0.377,0.172,0.325,0.435,0.419,0.161,0.29,5,5,13,5,5,8,7,12,7,2,15,11,4,1998-99
1610612766,Charlotte Hornets,4,1,3,0.25,197.0,0.46,0.36,0.175,0.357,0.466,0.316,0.144,0.338,12,12,1,12,12,9,8,14,1,6,5,11,14,1999-00
1610612765,Detroit Pistons,3,0,3,0.0,144.0,0.435,0.389,0.186,0.213,0.512,0.34,0.185,0.252,15,15,1,15,15,14,4,16,16,16,10,1,3,1999-00
1610612754,Indiana Pacers,23,13,10,0.565,1109.0,0.488,0.322,0.129,0.293,0.481,0.32,0.128,0.306,1,2,16,4,1,2,10,2,13,10,7,14,6,1999-00
1610612747,Los Angeles Lakers,23,15,8,0.652,1109.0,0.498,0.393,0.132,0.331,0.476,0.37,0.138,0.298,1,1,15,1,2,1,3,4,5,8,14,13,5,1999-00
1610612748,Miami Heat,10,6,4,0.6,485.0,0.451,0.328,0.161,0.304,0.431,0.352,0.148,0.234,5,5,9,3,5,12,9,9,9,2,11,10,1,1999-00
1610612749,Milwaukee Bucks,5,2,3,0.4,240.0,0.479,0.266,0.129,0.318,0.446,0.336,0.128,0.32,9,9,1,8,9,5,15,3,7,5,9,15,12,1999-00
1610612750,Minnesota Timberwolves,4,1,3,0.25,192.0,0.467,0.229,0.141,0.316,0.476,0.317,0.152,0.325,12,12,1,12,13,7,16,6,8,7,6,7,13,1999-00
1610612752,New York Knicks,16,9,7,0.563,773.0,0.462,0.318,0.137,0.238,0.442,0.328,0.144,0.317,3,4,14,5,3,8,11,5,15,4,8,12,11,1999-00
1610612755,Philadelphia 76ers,10,5,5,0.5,485.0,0.452,0.369,0.142,0.35,0.49,0.31,0.149,0.311,5,6,10,6,5,11,7,7,2,13,4,9,9,1999-00
1610612756,Phoenix Suns,9,4,5,0.444,432.0,0.435,0.274,0.166,0.335,0.436,0.444,0.155,0.341,8,7,10,7,8,13,14,12,4,3,16,6,15,1999-00
1610612757,Portland Trail Blazers,16,10,6,0.625,768.0,0.481,0.386,0.146,0.296,0.478,0.366,0.151,0.289,3,3,12,2,4,4,5,8,12,9,13,8,4,1999-00
1610612758,Sacramento Kings,5,2,3,0.4,240.0,0.456,0.37,0.128,0.29,0.488,0.305,0.12,0.381,9,9,1,8,9,10,6,1,14,12,3,16,16,1999-00
