TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON
1610612757,Portland Trail Blazers,4,1,3,0.25,192.0,105.8,108.7,112.0,112.1,-6.3,-3.4,0.667,1.48,18.1,0.363,0.696,0.519,0.177,0.489,0.542,93.6,92.25,76.87,367,0.454,12,12,1,12,12,3,14,10,4,8,3,3,8,4,14,6,3,2,11,1997-98
1610612759,San Antonio Spurs,9,4,5,0.444,437.0,103.0,103.4,98.5,99.7,4.5,3.6,0.52,1.2,14.6,0.304,0.727,0.528,0.163,0.489,0.536,88.5,87.76,73.13,799,0.527,7,5,9,5,7,7,2,2,14,14,13,9,4,1,10,5,5,7,3,1997-98
1610612760,Seattle SuperSonics,10,4,6,0.4,480.0,107.6,109.7,111.3,112.3,-3.7,-2.6,0.618,1.73,17.7,0.357,0.63,0.493,0.146,0.497,0.538,88.1,86.85,72.37,868,0.482,5,5,11,7,6,2,15,7,7,3,6,4,15,10,5,3,4,10,7,1997-98
1610612762,Utah Jazz,20,13,7,0.65,970.0,99.7,102.0,98.1,99.3,1.6,2.7,0.669,1.55,18.4,0.297,0.676,0.495,0.165,0.477,0.526,88.0,86.42,72.02,1744,0.537,2,2,16,2,2,10,1,3,3,6,1,10,11,8,12,10,9,11,2,1997-98
1610612737,Atlanta Hawks,9,3,6,0.333,432.0,91.5,94.8,97.3,98.5,-5.8,-3.7,0.486,0.97,12.1,0.342,0.703,0.511,0.171,0.415,0.47,85.9,83.83,69.86,756,0.463,6,6,13,11,6,14,4,10,15,16,16,4,7,5,10,15,15,14,9,1998-99
1610612765,Detroit Pistons,5,2,3,0.4,240.0,96.7,98.5,98.6,101.7,-2.0,-3.2,0.553,1.51,15.9,0.306,0.662,0.478,0.147,0.452,0.487,82.6,80.6,67.17,402,0.463,9,9,2,6,10,10,11,8,13,3,5,10,12,13,2,7,13,16,10,1998-99
1610612745,Houston Rockets,4,1,3,0.25,192.0,103.4,103.7,104.9,107.3,-1.5,-3.6,0.607,1.55,15.8,0.342,0.715,0.524,0.142,0.463,0.517,94.2,93.0,77.5,374,0.478,12,12,2,12,12,2,14,9,7,2,7,5,2,1,1,6,5,1,8,1998-99
1610612754,Indiana Pacers,13,9,4,0.692,629.0,103.0,105.3,99.5,100.9,3.5,4.4,0.631,1.31,16.7,0.336,0.679,0.512,0.178,0.485,0.54,89.9,88.37,73.64,1156,0.541,3,3,10,2,3,1,8,2,5,8,4,6,11,4,14,1,2,8,2,1998-99
1610612747,Los Angeles Lakers,8,3,5,0.375,384.0,99.6,101.9,103.4,104.3,-3.8,-2.4,0.553,1.39,15.4,0.306,0.686,0.486,0.152,0.473,0.508,94.0,92.56,77.14,738,0.462,7,6,11,9,7,4,13,7,12,7,9,11,9,11,5,5,8,3,11,1998-99
1610612748,Miami Heat,5,2,3,0.4,240.0,93.7,95.9,101.4,101.0,-7.7,-5.1,0.603,1.3,14.9,0.279,0.714,0.492,0.153,0.441,0.494,83.1,82.3,68.58,412,0.481,9,9,2,6,10,13,9,12,8,9,13,14,3,10,6,12,11,15,7,1998-99
1610612749,Milwaukee Bucks,3,0,3,0.0,149.0,102.2,102.9,111.0,113.6,-8.7,-10.7,0.588,1.22,15.9,0.308,0.621,0.471,0.176,0.484,0.542,91.1,89.72,74.77,278,0.43,15,15,2,15,15,3,16,15,9,12,6,9,15,15,13,2,1,6,13,1998-99
1610612750,Minnesota Timberwolves,4,1,3,0.25,192.0,90.4,92.5,99.7,99.4,-9.3,-6.9,0.586,1.29,15.3,0.348,0.718,0.521,0.167,0.412,0.453,88.0,87.13,72.6,348,0.416,12,12,2,12,12,16,5,13,10,11,11,3,1,3,9,16,16,11,15,1998-99
1610612752,New York Knicks,20,12,8,0.6,960.0,96.6,97.9,93.6,95.7,3.0,2.2,0.469,1.12,13.1,0.291,0.707,0.501,0.154,0.451,0.501,88.3,86.75,72.29,1736,0.504,1,2,16,3,1,11,2,3,16,13,15,12,5,7,7,10,9,12,4,1998-99
1610612753,Orlando Magic,4,1,3,0.25,192.0,93.3,94.5,102.1,101.9,-8.8,-7.4,0.712,1.04,15.4,0.363,0.59,0.475,0.208,0.422,0.49,91.5,91.0,75.83,365,0.427,12,12,2,12,12,15,12,14,1,14,10,2,16,14,16,14,12,4,14,1998-99
1610612755,Philadelphia 76ers,8,3,5,0.375,384.0,100.0,100.6,98.8,99.9,1.1,0.7,0.549,1.43,15.0,0.382,0.642,0.509,0.149,0.437,0.48,89.5,88.81,74.01,710,0.503,7,6,11,9,7,6,6,5,14,4,12,1,14,6,3,13,14,7,5,1998-99
1610612756,Phoenix Suns,3,0,3,0.0,144.0,98.4,99.6,109.5,110.4,-11.2,-10.8,0.644,1.6,17.5,0.264,0.701,0.447,0.151,0.473,0.512,93.8,92.83,77.36,278,0.389,15,15,2,15,16,8,15,16,4,1,2,16,8,16,4,4,6,2,16,1998-99
